"price","timestamp"
3158,"2023-04-01T03:00:00"
3129,"2023-04-01T04:00:00"
3130,"2023-04-01T05:00:00"
3100,"2023-04-01T06:00:00"
3058,"2023-04-01T07:00:00"
3140,"2023-04-01T08:00:00"
3172,"2023-04-01T09:00:00"
3163,"2023-04-01T10:00:00"
3135,"2023-04-01T11:00:00"
3112,"2023-04-01T12:00:00"
3092,"2023-04-01T13:00:00"
3103,"2023-04-01T14:00:00"
3101,"2023-04-01T15:00:00"
3095,"2023-04-01T16:00:00"
3094,"2023-04-01T17:00:00"
3090,"2023-04-01T18:00:00"
3128,"2023-04-01T19:00:00"
3124,"2023-04-01T20:00:00"
3108,"2023-04-01T21:00:00"
3094,"2023-04-01T22:00:00"
3089,"2023-04-01T23:00:00"
3084,"2023-04-02T00:00:00"
3084,"2023-04-02T01:00:00"
3070,"2023-04-02T02:00:00"
3082,"2023-04-02T03:00:00"
3078,"2023-04-02T04:00:00"
3077,"2023-04-02T05:00:00"
3080,"2023-04-02T06:00:00"
3088,"2023-04-02T07:00:00"
3090,"2023-04-02T08:00:00"
3077,"2023-04-02T09:00:00"
3059,"2023-04-02T10:00:00"
3064,"2023-04-02T11:00:00"
3064,"2023-04-02T12:00:00"
3078,"2023-04-02T13:00:00"
3079,"2023-04-02T14:00:00"
3073,"2023-04-02T15:00:00"
3083,"2023-04-02T16:00:00"
3091,"2023-04-02T17:00:00"
3088,"2023-04-02T18:00:00"
3082,"2023-04-02T19:00:00"
3067,"2023-04-02T20:00:00"
3072,"2023-04-02T21:00:00"
3079,"2023-04-02T22:00:00"
3077,"2023-04-02T23:00:00"
3085,"2023-04-03T00:00:00"
3079,"2023-04-03T01:00:00"
3082,"2023-04-03T02:00:00"
3073,"2023-04-03T03:00:00"
3073,"2023-04-03T04:00:00"
3073,"2023-04-03T05:00:00"
3070,"2023-04-03T06:00:00"
3074,"2023-04-03T07:00:00"
3069,"2023-04-03T08:00:00"
3073,"2023-04-03T09:00:00"
3070,"2023-04-03T10:00:00"
3047,"2023-04-03T11:00:00"
3048,"2023-04-03T12:00:00"
3058,"2023-04-03T13:00:00"
3064,"2023-04-03T14:00:00"
2991,"2023-04-03T15:00:00"
3036,"2023-04-03T16:00:00"
3039,"2023-04-03T17:00:00"
3023,"2023-04-03T18:00:00"
3022,"2023-04-03T19:00:00"
3021,"2023-04-03T20:00:00"
3028,"2023-04-03T21:00:00"
3029,"2023-04-03T22:00:00"
3026,"2023-04-03T23:00:00"
3010,"2023-04-04T00:00:00"
3015,"2023-04-04T01:00:00"
3018,"2023-04-04T02:00:00"
2999,"2023-04-04T03:00:00"
2987,"2023-04-04T04:00:00"
2983,"2023-04-04T05:00:00"
2987,"2023-04-04T06:00:00"
2987,"2023-04-04T07:00:00"
2980,"2023-04-04T08:00:00"
2967,"2023-04-04T09:00:00"
2944,"2023-04-04T10:00:00"
2973,"2023-04-04T11:00:00"
2984,"2023-04-04T12:00:00"
2974,"2023-04-04T13:00:00"
2982,"2023-04-04T14:00:00"
2972,"2023-04-04T15:00:00"
2996,"2023-04-04T16:00:00"
3031,"2023-04-04T17:00:00"
3013,"2023-04-04T18:00:00"
2991,"2023-04-04T19:00:00"
2984,"2023-04-04T20:00:00"
2991,"2023-04-04T21:00:00"
3006,"2023-04-04T22:00:00"
2987,"2023-04-04T23:00:00"
2988,"2023-04-05T00:00:00"
2983,"2023-04-05T01:00:00"
2972,"2023-04-05T02:00:00"
2967,"2023-04-05T03:00:00"
2981,"2023-04-05T04:00:00"
2977,"2023-04-05T05:00:00"
2977,"2023-04-05T06:00:00"
2975,"2023-04-05T07:00:00"
2964,"2023-04-05T08:00:00"
2955,"2023-04-05T09:00:00"
2964,"2023-04-05T10:00:00"
2959,"2023-04-05T11:00:00"
2968,"2023-04-05T12:00:00"
2989,"2023-04-05T13:00:00"
2988,"2023-04-05T14:00:00"
2992,"2023-04-05T15:00:00"
2991,"2023-04-05T16:00:00"
2992,"2023-04-05T17:00:00"
2993,"2023-04-05T18:00:00"
2992,"2023-04-05T19:00:00"
2989,"2023-04-05T20:00:00"
2995,"2023-04-05T21:00:00"
2996,"2023-04-05T22:00:00"
2999,"2023-04-05T23:00:00"
3000,"2023-04-06T00:00:00"
2993,"2023-04-06T01:00:00"
2994,"2023-04-06T02:00:00"
2987,"2023-04-06T03:00:00"
2983,"2023-04-06T04:00:00"
2976,"2023-04-06T05:00:00"
2977,"2023-04-06T06:00:00"
2969,"2023-04-06T07:00:00"
2974,"2023-04-06T08:00:00"
2975,"2023-04-06T09:00:00"
2977,"2023-04-06T10:00:00"
2978,"2023-04-06T11:00:00"
2977,"2023-04-06T12:00:00"
2980,"2023-04-06T13:00:00"
2973,"2023-04-06T14:00:00"
2977,"2023-04-06T15:00:00"
2979,"2023-04-06T16:00:00"
2978,"2023-04-06T17:00:00"
2979,"2023-04-06T18:00:00"
2986,"2023-04-06T19:00:00"
2989,"2023-04-06T20:00:00"
2982,"2023-04-06T21:00:00"
2987,"2023-04-06T22:00:00"
2979,"2023-04-06T23:00:00"
2988,"2023-04-07T00:00:00"
2989,"2023-04-07T01:00:00"
2984,"2023-04-07T02:00:00"
2982,"2023-04-07T03:00:00"
2977,"2023-04-07T04:00:00"
2968,"2023-04-07T05:00:00"
2964,"2023-04-07T06:00:00"
2967,"2023-04-07T07:00:00"
2969,"2023-04-07T08:00:00"
2967,"2023-04-07T09:00:00"
2959,"2023-04-07T10:00:00"
2960,"2023-04-07T11:00:00"
2962,"2023-04-07T12:00:00"
2962,"2023-04-07T13:00:00"
2957,"2023-04-07T14:00:00"
2959,"2023-04-07T15:00:00"
2966,"2023-04-07T16:00:00"
2974,"2023-04-07T17:00:00"
2967,"2023-04-07T18:00:00"
2965,"2023-04-07T19:00:00"
2965,"2023-04-07T20:00:00"
2979,"2023-04-07T21:00:00"
2974,"2023-04-07T22:00:00"
2970,"2023-04-07T23:00:00"
2965,"2023-04-08T00:00:00"
2957,"2023-04-08T01:00:00"
2961,"2023-04-08T02:00:00"
2957,"2023-04-08T03:00:00"
2956,"2023-04-08T04:00:00"
2949,"2023-04-08T05:00:00"
2948,"2023-04-08T06:00:00"
2954,"2023-04-08T07:00:00"
2950,"2023-04-08T08:00:00"
2956,"2023-04-08T09:00:00"
2952,"2023-04-08T10:00:00"
2935,"2023-04-08T11:00:00"
2951,"2023-04-08T12:00:00"
2951,"2023-04-08T13:00:00"
2953,"2023-04-08T14:00:00"
2951,"2023-04-08T15:00:00"
2947,"2023-04-08T16:00:00"
2931,"2023-04-08T17:00:00"
2930,"2023-04-08T18:00:00"
2944,"2023-04-08T19:00:00"
2960,"2023-04-08T20:00:00"
2946,"2023-04-08T21:00:00"
2944,"2023-04-08T22:00:00"
2942,"2023-04-08T23:00:00"
2917,"2023-04-09T00:00:00"
2909,"2023-04-09T01:00:00"
2966,"2023-04-09T02:00:00"
2964,"2023-04-09T03:00:00"
2956,"2023-04-09T04:00:00"
2963,"2023-04-09T05:00:00"
2969,"2023-04-09T06:00:00"
2970,"2023-04-09T07:00:00"
2975,"2023-04-09T08:00:00"
2981,"2023-04-09T09:00:00"
2985,"2023-04-09T10:00:00"
2973,"2023-04-09T11:00:00"
2975,"2023-04-09T12:00:00"
2973,"2023-04-09T13:00:00"
2968,"2023-04-09T14:00:00"
2973,"2023-04-09T15:00:00"
2984,"2023-04-09T16:00:00"
2989,"2023-04-09T17:00:00"
2989,"2023-04-09T18:00:00"
2976,"2023-04-09T19:00:00"
2974,"2023-04-09T20:00:00"
2983,"2023-04-09T21:00:00"
2983,"2023-04-09T22:00:00"
2985,"2023-04-09T23:00:00"
2979,"2023-04-10T00:00:00"
2982,"2023-04-10T01:00:00"
2978,"2023-04-10T02:00:00"
2977,"2023-04-10T03:00:00"
2978,"2023-04-10T04:00:00"
2977,"2023-04-10T05:00:00"
2976,"2023-04-10T06:00:00"
2975,"2023-04-10T07:00:00"
2976,"2023-04-10T08:00:00"
2974,"2023-04-10T09:00:00"
2975,"2023-04-10T10:00:00"
2981,"2023-04-10T11:00:00"
2977,"2023-04-10T12:00:00"
2973,"2023-04-10T13:00:00"
2975,"2023-04-10T14:00:00"
2975,"2023-04-10T15:00:00"
2976,"2023-04-10T16:00:00"
2976,"2023-04-10T17:00:00"
2978,"2023-04-10T18:00:00"
2983,"2023-04-10T19:00:00"
2983,"2023-04-10T20:00:00"
2983,"2023-04-10T21:00:00"
2981,"2023-04-10T22:00:00"
2984,"2023-04-10T23:00:00"
2991,"2023-04-11T00:00:00"
2990,"2023-04-11T01:00:00"
2986,"2023-04-11T02:00:00"
2985,"2023-04-11T03:00:00"
2982,"2023-04-11T04:00:00"
2978,"2023-04-11T05:00:00"
2976,"2023-04-11T06:00:00"
2977,"2023-04-11T07:00:00"
2980,"2023-04-11T08:00:00"
2982,"2023-04-11T09:00:00"
2985,"2023-04-11T10:00:00"
2985,"2023-04-11T11:00:00"
2980,"2023-04-11T12:00:00"
2975,"2023-04-11T13:00:00"
2976,"2023-04-11T14:00:00"
2979,"2023-04-11T15:00:00"
2982,"2023-04-11T16:00:00"
2983,"2023-04-11T17:00:00"
2985,"2023-04-11T18:00:00"
2986,"2023-04-11T19:00:00"
2987,"2023-04-11T20:00:00"
2986,"2023-04-11T21:00:00"
2990,"2023-04-11T22:00:00"
2991,"2023-04-11T23:00:00"
2990,"2023-04-12T00:00:00"
2988,"2023-04-12T01:00:00"
2983,"2023-04-12T02:00:00"
2983,"2023-04-12T03:00:00"
2982,"2023-04-12T04:00:00"
2981,"2023-04-12T05:00:00"
2980,"2023-04-12T06:00:00"
2977,"2023-04-12T07:00:00"
